order,timeline_in,timeline_out,title
1,00:00:00,00:04:35,4年ブロンズの男、今日シルバーに行く
2,00:04:35,00:06:32,VCから謎の可愛い声で手が震える
3,00:06:32,00:08:48,シルバー昇格の瞬間
4,00:08:48,00:12:44,ブロンズ履歴を振り返り、シルバー5発表
5,00:12:44,00:14:03,OWをやれば彼女も競馬も就職も
6,00:14:03,00:19:46,降格ショックからのチェーン焼肉最強論
7,00:19:46,00:23:58,プレミアムカルビの薄タン、肉汁ブシャー
8,00:23:58,00:29:00,高い焼肉屋に行った後にプレカルへ行け
9,00:29:00,00:29:34,サブスク感謝「これでまたプレカル行ける」
10,00:29:34,00:41:51,天狗ちゃんの人生論、パン屋時代のいじめ
11,00:41:51,00:44:12,喧嘩ティア表に物申す、わっちゃんハブ疑惑
12,00:44:12,00:44:46,新職場で「私」カルチャーショック
13,00:44:46,00:48:39,トイレは病気？親友論、マサオのドタキャン
14,00:48:39,00:54:07,サブスクはリスクしかない、東方とOWだけで幸せ
15,00:54:07,01:00:10,ファイナルラスト、ブロンズ落ち、V系の話
16,01:00:10,01:06:15,「怒りじゃなくて恨み」眠いと言った瞬間マッチ
17,01:06:15,01:06:50,結果はブロンズ、締め
