order,src_in,src_out,duration,timeline_in,timeline_out,title,cues
1,00:00:56,00:05:31,00:04:35,00:00:00,00:04:35,4年ブロンズの男、今日シルバーに行く,69
2,00:06:29,00:08:26,00:01:57,00:04:35,00:06:32,VCから謎の可愛い声で手が震える,21
3,00:19:44,00:22:00,00:02:16,00:06:32,00:08:48,シルバー昇格の瞬間,30
4,00:43:27,00:47:23,00:03:56,00:08:48,00:12:44,ブロンズ履歴を振り返り、シルバー5発表,58
5,00:50:45,00:52:04,00:01:19,00:12:44,00:14:03,OWをやれば彼女も競馬も就職も,21
6,01:14:18,01:20:01,00:05:43,00:14:03,00:19:46,降格ショックからのチェーン焼肉最強論,84
7,01:35:26,01:39:38,00:04:12,00:19:46,00:23:58,プレミアムカルビの薄タン、肉汁ブシャー,64
8,02:24:22,02:29:24,00:05:02,00:23:58,00:29:00,高い焼肉屋に行った後にプレカルへ行け,80
9,02:37:57,02:38:31,00:00:34,00:29:00,00:29:34,サブスク感謝「これでまたプレカル行ける」,9
10,02:46:31,02:58:48,00:12:17,00:29:34,00:41:51,天狗ちゃんの人生論、パン屋時代のいじめ,186
11,02:58:56,03:01:17,00:02:21,00:41:51,00:44:12,喧嘩ティア表に物申す、わっちゃんハブ疑惑,37
12,03:04:16,03:04:50,00:00:34,00:44:12,00:44:46,新職場で「私」カルチャーショック,9
13,03:12:03,03:15:56,00:03:53,00:44:46,00:48:39,トイレは病気？親友論、マサオのドタキャン,46
14,03:25:13,03:30:41,00:05:28,00:48:39,00:54:07,サブスクはリスクしかない、東方とOWだけで幸せ,56
15,03:38:28,03:44:31,00:06:03,00:54:07,01:00:10,ファイナルラスト、ブロンズ落ち、V系の話,80
16,04:04:05,04:10:10,00:06:05,01:00:10,01:06:15,「怒りじゃなくて恨み」眠いと言った瞬間マッチ,56
17,04:29:02,04:29:37,00:00:35,01:06:15,01:06:50,結果はブロンズ、締め,9
