order,start,end,title
1,00:00:56,00:05:31,4年ブロンズの男、今日シルバーに行く
2,00:06:29,00:08:26,VCから謎の可愛い声で手が震える
3,00:19:44,00:22:00,シルバー昇格の瞬間
4,00:43:27,00:47:23,ブロンズ履歴を振り返り、シルバー5発表
5,00:50:45,00:52:04,OWをやれば彼女も競馬も就職も
6,01:14:18,01:20:01,降格ショックからのチェーン焼肉最強論
7,01:35:26,01:39:38,プレミアムカルビの薄タン、肉汁ブシャー
8,02:24:22,02:29:24,高い焼肉屋に行った後にプレカルへ行け
9,02:37:57,02:38:31,サブスク感謝「これでまたプレカル行ける」
10,02:46:31,02:58:48,天狗ちゃんの人生論、パン屋時代のいじめ
11,02:58:56,03:01:17,喧嘩ティア表に物申す、わっちゃんハブ疑惑
12,03:04:16,03:04:50,新職場で「私」カルチャーショック
13,03:12:03,03:15:56,トイレは病気？親友論、マサオのドタキャン
14,03:25:13,03:30:41,サブスクはリスクしかない、東方とOWだけで幸せ
15,03:38:28,03:44:31,ファイナルラスト、ブロンズ落ち、V系の話
16,04:04:05,04:10:10,「怒りじゃなくて恨み」眠いと言った瞬間マッチ
17,04:29:02,04:29:37,結果はブロンズ、締め
